engine,record_bytes,records_per_sync,preallocation,pace_us,runs,groups_per_run,p50_us_median,p50_us_min,p50_us_max,p95_us_median,p95_us_min,p95_us_max,p99_us_median,p99_us_min,p99_us_max,max_us_median,max_us_min,max_us_max,mean_us_median,mean_us_min,mean_us_max,submit_p50_us_median,submit_p99_us_median,write_complete_p50_us_median,cpu_us_per_group_median,setup_us_median,preallocation_us_median
uring-linked,128,1,off,0,3,256,218.798,207.77700000000002,231.177,320.37600000000003,257.067,344.926,1093.1580000000001,990.028,1161.4270000000001,1783.8500000000001,1121.637,2193.135,237.47491000000002,229.354293,262.42951600000004,0.89,2.46,9.07,20.2774765625,89.319,0.0
uring-linked,128,1,off,20000,3,64,327.216,259.237,1282.546,1878.819,287.457,11716.528,5376.58,321.346,25774.440000000002,5376.58,321.346,25774.440000000002,603.3642970000001,259.986266,4615.901906000001,2.78,7.73,24.06,48.729484375,73.349,0.0
uring-linked,128,16,off,0,3,256,213.857,209.238,218.738,347.557,268.987,355.056,1143.567,997.619,1218.666,1865.549,1679.061,2657.71,245.360488,243.62666800000002,252.686223,0.96,2.4,10.29,23.19955078125,81.519,0.0
uring-linked,4096,1,keep-size,0,3,256,214.457,213.208,215.388,292.646,232.848,331.426,904.77,269.047,1192.376,1687.691,281.887,1778.761,237.16662100000002,213.75232,247.10080900000003,0.94,2.13,9.71,22.58994140625,74.38,1.44
uring-linked,4096,1,off,0,3,256,214.708,214.217,222.818,379.25600000000003,288.837,380.496,1212.4470000000001,1016.308,1253.775,2055.007,1772.3,5461.499,256.63766,239.64177700000002,275.22468,0.95,2.78,10.049,24.28678125,76.81,0.0
uring-linked,4096,16,off,0,3,256,292.12600000000003,271.907,300.897,360.386,307.377,557.823,1103.458,351.846,1884.529,1793.1200000000001,1026.099,4844.176,317.11786700000005,278.145797,361.239969,1.0,2.53,16.479,57.9344296875,97.239,0.0
uring-linked,65536,1,off,0,3,256,275.287,274.317,307.806,412.726,332.536,1430.814,1234.386,406.87600000000003,2554.172,1291.386,813.0210000000001,7805.383,306.962168,284.043348,460.274703,1.05,2.78,17.879,60.43975,81.879,0.0
worker,128,1,keep-size,0,3,256,210.778,210.638,215.227,258.027,256.447,285.557,817.9010000000001,268.66700000000003,1076.6680000000001,1701.171,773.0120000000001,2102.947,231.343887,220.65791000000002,240.41046100000003,0.7,1.6,7.18,18.9777890625,75.22,1.28
worker,128,1,off,0,3,256,222.798,206.937,232.377,376.266,307.146,434.605,1152.337,847.84,2587.631,1908.498,1126.757,4452.1,247.950062,239.193832,304.60298,0.64,1.41,6.92,18.547875,88.009,0.0
worker,128,1,off,20000,3,64,341.176,305.356,2576.931,1906.019,1644.442,11676.729,6465.7970000000005,2132.446,25777.0,6465.7970000000005,2132.446,25777.0,618.662703,522.818031,5076.013938,1.35,3.26,18.46,48.373875,88.579,0.0
worker,128,16,off,0,3,256,214.197,213.93800000000002,219.928,292.037,258.017,302.616,556.234,278.077,908.729,1923.248,301.22700000000003,2149.166,236.532957,217.582234,242.303293,0.64,1.29,7.73,21.17249609375,81.149,0.0
worker,4096,1,keep-size,0,3,256,211.657,211.297,216.838,310.806,232.047,345.137,1815.229,256.527,1900.329,1861.259,362.06600000000003,2130.0860000000002,246.00030900000002,212.87679699999998,261.487926,0.66,1.17,7.38,20.7598828125,89.759,1.95
worker,4096,1,off,0,3,256,225.05700000000002,212.988,225.967,303.046,274.687,336.907,1169.087,1078.727,2329.804,1941.108,1660.3020000000001,2646.2200000000003,249.856133,239.707938,269.80939500000005,0.78,1.73,8.27,23.608359375,103.619,0.0
worker,4096,16,off,0,3,256,282.047,279.837,284.526,362.046,329.97700000000003,389.666,1230.766,475.115,1254.256,1646.261,505.644,2017.978,316.414641,286.688852,320.843973,0.76,1.75,15.82,58.205203125,110.759,0.0
worker,65536,1,off,0,3,256,284.247,276.597,288.857,409.605,316.896,422.036,1390.604,1170.487,1852.049,3028.626,2424.082,3707.898,320.703234,303.982148,340.194844,0.75,1.89,16.85,58.55642578125,91.769,0.0
